MOF,Uptake
ABEXEM,0.197961955
ABEXEM,2.2888654547
ABEXEM,3.0500298078
ABEXIQ,0.2679409575
ABEXIQ,2.4017410064
ABEXIQ,3.0557864039
ABEXOW,0.2444559449
ABEXOW,2.4260777332
ABEXOW,3.010077236
ABEXUC,0.2548028224
ABEXUC,2.3885549211
ABEXUC,2.9669208785
ABEYAJ,0.2186163753
ABEYAJ,2.3459607046
ABEYAJ,2.9101200171
ABEYEN,0.0050315374
ABEYEN,0.1236076585
ABEYEN,0.4584521388
ABEYIR,0.2269260935
ABEYIR,2.2735465917
ABEYIR,2.7913018925
ABIXOZ,0.0806892521
ABIXOZ,1.168049312
ABIXOZ,2.3133929965
ABUWOJ,0.0893717601
ABUWOJ,1.508040715
ABUWOJ,3.2690022714
ACAJIZ,0.002072905
ACAJIZ,0.0510322247
ACAJIZ,0.2073883171
ACAJOF,0.0016295107
ACAJOF,0.0414475643
ACAJOF,0.1676990619
ACAKUM,2.9846226251
ACAKUM,4.0481964217
ACAKUM,4.3580569349
ACALIB,0.7919598381
ACALIB,2.9886395101
ACALIB,3.7699360752
ACIBOE,0.0018364527
ACIBOE,0.0465084425
ACIBOE,0.1871711144
ACOGAB,0.0293169073
ACOGAB,0.6819951897
ACOGAB,2.3247082925
ACOGEF,0.0284551517
ACOGEF,0.6840372835
ACOGEF,2.2888121493
ACOLIP,0.0180787478
ACOLIP,0.4056610168
ACOLIP,1.4493191495
ACUBAB,0.0008056053
ACUBAB,0.0199691897
ACUBAB,0.0799325087
ACUTOI,0.0122324722
ACUTOI,0.3073634711
ACUTOI,1.0781117903
ADABIS,0.0006128283
ADABIS,0.0132355267
ADABIS,0.0504303642
ADABUE,0.0015119275
ADABUE,0.0376569469
ADABUE,0.140927754
ADEGIA01,2.0918942638
ADEGIA01,2.7167346507
ADEGIA01,3.2836576777
ADEGIA,2.340870203
ADEGIA,2.6268077807
ADEGIA,2.9604005884
ADIQEL,0.0796049105
ADIQEL,1.5091150277
ADIQEL,3.3410449687
ADODII,0.0062156422
ADODII,0.1527778838
ADODII,0.5670351987
ADODOO,0.0075948439
ADODOO,0.1850130163
ADODOO,0.6648229539
ADODUU,0.0078356279
ADODUU,0.1865162685
ADODUU,0.6777973597
AFIPAH,2.8323900288
AFIPAH,3.5030472429
AFIPAH,3.736852691
AFITEP,0.0337712401
AFITEP,0.8017674906
AFITEP,2.5386626107
AFOQUI,0.0108801229
AFOQUI,0.230908665
AFOQUI,0.6993629109
AFOTOF,0.0044360372
AFOTOF,0.110261634
AFOTOF,0.3969976786
AFOTUL,0.0115721812
AFOTUL,0.295136854
AFOTUL,0.9907650048
AFOVAT,0.0093405639
AFOVAT,0.2366543961
AFOVAT,0.8262137201
AFOVEX,0.0141502488
AFOVEX,0.3165790317
AFOVEX,1.0790168318
AFOVIB,0.013061053
AFOVIB,0.3138935566
AFOVIB,1.0576264969
AFOVOH,0.0144795983
AFOVOH,0.3115069782
AFOVOH,1.121919577
AFOYIE,0.0012621815
AFOYIE,0.0306680883
AFOYIE,0.1247031257
AFUPEX,0.0828116371
AFUPEX,2.0421683636
AFUPEX,4.5994754828
AGARUW,0.0253296911
AGARUW,0.4373270818
AGARUW,1.0427443241
AGESIP,0.0780244967
AGESIP,1.1796824306
AGESIP,1.8570029842
AGIMOU,0.0053553009
AGIMOU,0.1427373006
AGIMOU,0.5169518153
AHEQAH,0.3149854306
AHEQAH,1.5364635732
AHEQAH,2.1883038525
AHOKIR01,0.3273276022
AHOKIR01,4.1848672137
AHOKIR01,5.1538412127
AHOKIR,0.0242592258
AHOKIR,0.657405934
AHOKIR,2.7279566284
AHOKOX,0.0259787519
AHOKOX,0.7430952447
AHOKOX,2.8378548835
AHUTIH01,0.0958029386
AHUTIH01,1.4014182157
AHUTIH01,2.3424890193
AHUTIH,0.0284528427
AHUTIH,0.5473210988
AHUTIH,1.3506776733
AJINOY,0.0025922206
AJINOY,0.0592489307
AJINOY,0.1987480403
AJOXAA,0.028274976
AJOXAA,0.7065384341
AJOXAA,2.2065838017
AKEDIF,0.0123495578
AKEDIF,0.2900723754
AKEDIF,1.1537745135
AKUHOD01,1.4794643728
AKUHOD01,1.8946837824
AKUHOD01,2.0115884278
AKUHOD,1.4972144081
AKUHOD,1.9150382304
AKUHOD,2.1364447767
AKUKUO,0.0312493606
AKUKUO,0.5250286597
AKUKUO,1.3915385972
ALALUU01,1.6943886395
ALALUU01,2.1524634038
ALALUU01,2.3485849774
ALALUU,1.6951234127
ALALUU,2.1122794218
ALALUU,2.2934430486
ALAMUW,0.0016194153
ALAMUW,0.0409986761
ALAMUW,0.1632298519
ALATAK,0.5339563778
ALATAK,4.561846231
ALATAK,5.2846053705
ALEQIT,0.2568546975
ALEQIT,1.2835539262
ALEQIT,1.6533523316
ALFFIVE_13_Cd_i,1.8348865057
ALFFIVE_13_Cd_i,0.5641809899
ALFFIVE_13_Cd_i,0.0244239436
ALFFIVE_13_Co_i,2.7974347084
ALFFIVE_13_Co_i,1.0998994596
ALFFIVE_13_Co_i,0.0552949035
ALFFIVE_13_Cu_i,2.8129101937
ALFFIVE_13_Cu_i,1.0666050037
ALFFIVE_13_Cu_i,0.0524694153
ALFFIVE_13_Fe_i,2.2250667539
ALFFIVE_13_Fe_i,0.7922142325
ALFFIVE_13_Fe_i,0.0382540142
ALFFIVE_13_Ni_i,2.6006967671
ALFFIVE_13_Ni_i,1.0016194076
ALFFIVE_13_Ni_i,0.0489663694
ALFFIVE_13_Zn_i,2.3362492464
ALFFIVE_13_Zn_i,0.8417125649
ALFFIVE_13_Zn_i,0.03957763
ALFFIVE_14_Cd_i,3.3635239437
ALFFIVE_14_Cd_i,1.4865421622
ALFFIVE_14_Cd_i,0.0848823872
ALFFIVE_14_Co_i,1.4352251082
